#ID   R   G   B   A   Noise
127   0   0   0   0   0
128   0   0   0   0   0
129   0   0   0   0   0
130   0   0   0   0   0
131   0   0   0   0   0
132   0   0   0   0   0
133   0   0   0   0   0
134   0   0   0   0   0
135   0   0   0   0   0
136   0   0   0   0   0
137   0   0   0   0   0
138   0   0   0   0   0
139   0   0   0   0   0
140   0   0   0   0   0
141   0   0   0   0   0
142   0   0   0   0   0
143   0   0   0   0   0
144   0   0   0   0   0
145   0   0   0   0   0
146   0   0   0   0   0
147   0   0   0   0   0
148   0   0   0   0   0
149   0   0   0   0   0
150   0   0   0   0   0
151   0   0   0   0   0
152   0   0   0   0   0
153   0   0   0   0   0
154   0   0   0   0   0
155   0   0   0   0   0
156   0   0   0   0   0
157   0   0   0   0   0
158   0   0   0   0   0
159   0   0   0   0   0
160   0   0   0   0   0
161   0   0   0   0   0
162   0   0   0   0   0
163   0   0   0   0   0
164   0   0   0   0   0
165   0   0   0   0   0
166   0   0   0   0   0
167   0   0   0   0   0
168   0   0   0   0   0
169   0   0   0   0   0
170   0   0   0   0   0
171   0   0   0   0   0
172   0   0   0   0   0
173   0   0   0   0   0
174   0   0   0   0   0
175   0   0   0   0   0
176   0   0   0   0   0
177   0   0   0   0   0
178   0   0   0   0   0
179   0   0   0   0   0
180   0   0   0   0   0
181   0   0   0   0   0
182   0   0   0   0   0
183   0   0   0   0   0
184   0   0   0   0   0
185   0   0   0   0   0
186   0   0   0   0   0
187   0   0   0   0   0
188   0   0   0   0   0
189   0   0   0   0   0
190   0   0   0   0   0
191   0   0   0   0   0
192   0   0   0   0   0
193   0   0   0   0   0
194   0   0   0   0   0
195   0   0   0   0   0
196   0   0   0   0   0
197   0   0   0   0   0
198   0   0   0   0   0
199   0   0   0   0   0
200   0   0   0   0   0
201   0   0   0   0   0
202   0   0   0   0   0
203   0   0   0   0   0
204   0   0   0   0   0
205   0   0   0   0   0
206   0   0   0   0   0
207   0   0   0   0   0
208   0   0   0   0   0
209   0   0   0   0   0
210   0   0   0   0   0
211   0   0   0   0   0
212   0   0   0   0   0
213   0   0   0   0   0
214   0   0   0   0   0
215   0   0   0   0   0
216   0   0   0   0   0
217   0   0   0   0   0
218   0   0   0   0   0
219   0   0   0   0   0
220   0   0   0   0   0
221   0   0   0   0   0
222   0   0   0   0   0
223   0   0   0   0   0
224   0   0   0   0   0
225   0   0   0   0   0
226   0   0   0   0   0
227   0   0   0   0   0
228   0   0   0   0   0
229   0   0   0   0   0
230   0   0   0   0   0
231   0   0   0   0   0
232   0   0   0   0   0
233   217   95   239   255   21
234   160   128   75   255   3
235   117   117   117   255   2
236   23   116   4   255   5
237   27   135   5   255   5
238   9   28   1   255   0
239   41   206   8   255   5
240   248   122   36   255   7
241   207   29   201   255   29
242   100   132   213   255   6
243   194   185   0   255   33
244   0   197   45   255   22
245   230   123   152   255   1
246   66   66   66   255   0
247   156   165   165   255   0
248   0   115   150   255   1
249   143   4   197   255   36
250   47   29   155   255   15
251   90   50   24   255   0
252   47   80   22   255   3
253   177   25   31   255   0
254   27   22   23   255   0
255   0   0   0   0   0
