#ID   R   G   B   A   Noise
233   217   95   239   255   21
234   160   128   75   255   3
235   117   117   117   255   2
236   116   116   116   255   5
237   135   135   135   255   5
238   47   28   10   255   0
239   206   206   201   255   5
240   248   122   36   255   7
241   207   29   201   255   29
242   100   132   213   255   6
243   194   185   0   255   33
244   0   197   45   255   22
245   230   123   152   255   1
246   66   66   66   255   0
247   156   165   165   255   0
248   0   115   150   255   1
249   143   4   197   255   36
250   47   29   155   255   15
251   90   50   24   255   0
252   47   80   22   255   3
253   177   25   31   255   0
254   27   22   23   255   0
255   0   0   0   0   0
